source_id,global_index,image_url,review_count,valid_count,participant_followup_count,max_anomaly_score,mean_anomaly_score,roles,buckets,evidence_axes,axis_match_count,review_tier,priority_candidate,focus_rendered,quality_tier,quality_score,n_obs,amplitude_completed,rebrightening_completed,nonmono_completed,peak_snr,latest_reason
AT2018ifv,241,http://49.233.162.81:8788/all_sample_gp/AT2018ifv_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""hit_existing_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""amplitude"": 1}",2,priority,True,False,B_completed_good,0.83,215,2.09,9,0.38,15.9,主峰衰减约2等后多次小幅回升，振幅约2.09等，再亮计数达9次，g从18.5变暗到20.0，SNR约15.9
AT2018aie,42,http://49.233.162.81:8788/all_sample_gp/AT2018aie_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1, ""amplitude"": 1}",2,pool,False,False,B_completed_good,0.76,323,1.91,21,0.44,25.0,g波段从19.3等变暗到20.6等后回升，r波段振幅约1.3等，再亮计数高达21次，SNR=25数据质量好
AT2018bkw,73,http://49.233.162.81:8788/all_sample_gp/AT2018bkw_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""color_separation"": 1, ""amplitude"": 1}",2,pool,False,False,B_completed_good,0.62,56,0.61,5,0.42,4.4,MJD 58250处g/r骤降峰值约16.4等，后反弹在MJD 58500附近再次衰减，再亮计数5次，振幅0.61等
AT2018bwn,85,http://49.233.162.81:8788/all_sample_gp/AT2018bwn_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",2,pool,False,False,A_completed_high,0.72,26,1.42,2,0.35,10.3,振幅约1.42等，r波段从18.0等下降至19.5等，g波段从19.0等下降至20.0等，dm15≈0.31显示快速衰减，再亮计数≈2，特征质量A完成度高
AT2018cat,87,http://49.233.162.81:8788/all_sample_gp/AT2018cat_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""color_separation"": 1, ""amplitude"": 1}",2,pool,False,False,A_completed_high,0.88,71,1.77,3,0.23,8.6,r波段在MJD 58500附近见峰值约18.75等后衰减至20.5等，振幅1.77等明显，三次再亮结构
AT2018cte,107,http://49.233.162.81:8788/all_sample_gp/AT2018cte_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1, ""amplitude"": 1}",2,pool,False,False,B_completed_good,0.66,155,0.88,8,0.51,6.9,g波段在MJD 58700附近从19.2等回升至18.4等，再亮计数高达8次，整体振幅约0.88等，SNR约6.9，多次再亮特征明显值得追踪
AT2018epn,155,http://49.233.162.81:8788/all_sample_gp/AT2018epn_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1}",2,pool,False,False,A_completed_high,0.89,60,2.0,3,0.61,27.7,振幅2.0等，g和r波段交错波动覆盖MJD 58280-58900，峰值SNR高达27.7，再亮3次结构明显
AT2018fpu,169,http://49.233.162.81:8788/all_sample_gp/AT2018fpu_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",2,pool,False,False,A_completed_high,0.7,300,2.27,2,0.31,8.2,g波段在MJD58300-58400从19.8急剧增亮至16.5，振幅2.27等，r波段衰减中有两次再亮
AT2018hca,203,http://49.233.162.81:8788/all_sample_gp/AT2018hca_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1, ""amplitude"": 1}",2,pool,False,False,B_completed_good,0.61,126,1.06,20,0.47,3.9,r波段在MJD 58400-58500区间从18.5衰减至20.0后又反弹至19左右，呈现明显衰减再亮结构；g波段振幅约1.5等在58600附近见谷值约21等；再亮计数高达20次
AT2018hmi,216,http://49.233.162.81:8788/all_sample_gp/AT2018hmi_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",2,pool,False,False,B_completed_good,0.69,265,1.13,40,0.44,9.9,再亮计数高达40次，三波段(g/r/i)在17.2-18.6范围波动，振幅约1.13等，多次亮度起伏结构明显值得跟进
AT2018joa,301,http://49.233.162.81:8788/all_sample_gp/AT2018joa_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""amplitude"": 1, ""peak_or_bump"": 1}",2,pool,False,False,B_completed_good,0.64,192,0.77,6,0.46,5.8,g波段在MJD 58500-58800区间见多次峰值波动，振幅约0.8等；r波段与g波段间距约0.5等；再亮计数6次表明存在多次亮度抬升
AT2018kev,323,http://49.233.162.81:8788/all_sample_gp/AT2018kev_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""amplitude"": 1}",2,pool,False,False,B_completed_good,0.68,76,0.31,2,0.75,8.9,再亮计数约2次，g波段有明显起伏，峰值SNR=8.9，振幅约0.31等
AT2018kib,331,http://49.233.162.81:8788/all_sample_gp/AT2018kib_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""amplitude"": 1}",2,pool,False,False,B_completed_good,0.64,657,0.86,24,0.42,5.5,g/r波段分层清晰，但GP曲线高频锯齿波动，再亮计数24次，多次非单调起伏，振幅0.86等
AT2018kmv,339,http://49.233.162.81:8788/all_sample_gp/AT2018kmv_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""amplitude"": 1, ""rebrightening"": 1}",2,pool,False,False,B_completed_good,0.66,511,1.38,2,0.45,8.6,r波段出现两次深度向下波动，振幅约1.38等；g波段缓慢下降后小幅回升；SNR 8.6较高，异常结构可信
AT2018krz,343,http://49.233.162.81:8788/all_sample_gp/AT2018krz_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""amplitude"": 1, ""color_separation"": 1}",2,pool,False,False,A_completed_high,0.73,66,1.11,12,0.64,14.7,r波段在16.5-17.5范围振荡，g波段在17.3-18.5振荡，振幅约1.11等，再亮计数达12次，颜色分离明显
AT2018lal,356,http://49.233.162.81:8788/all_sample_gp/AT2018lal_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",2,pool,False,False,A_completed_high,0.85,247,1.27,40,0.39,8.8,两波段分层清晰，g/r间距约1等，振幅约1.27等，再亮计数高达40次，有明显多次变亮特征
AT2018lhu,369,http://49.233.162.81:8788/all_sample_gp/AT2018lhu_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1, ""rebrightening"": 1, ""amplitude"": 1}",2,pool,False,False,A_completed_high,0.72,382,1.37,4,0.48,12.7,g波段在MJD58500、58800附近出现深谷约20.5，r波段多峰波动；振幅约1.37等，再亮4次
AT2018lrh,390,http://49.233.162.81:8788/all_sample_gp/AT2018lrh_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""peak_or_bump"": 1, ""amplitude"": 1, ""color_separation"": 1}",2,pool,False,False,A_completed_high,0.83,129,1.43,4,0.59,8.4,振幅1.43等，g波段在MJD 58400-58500快速上升后回落，后续MJD 58600/58800/59000附近多次再亮，再亮计数4
AT2018lug,404,http://49.233.162.81:8788/all_sample_gp/AT2018lug_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",2,pool,False,False,A_completed_high,0.94,127,1.53,40,0.49,17.0,振幅约1.53等，g/r波段多次亮度起伏（再亮计数40），SNR 17.0信号强，存在明显多峰结构
AT2018lvh,407,http://49.233.162.81:8788/all_sample_gp/AT2018lvh_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""amplitude"": 1}",2,pool,False,False,B_completed_good,0.65,268,0.94,15,0.47,6.5,r波段16.25至17.25，g波段17.0至18.25，振幅约1等，高频波动可见，feature显示再亮计数15，多次再亮特征明显
AT2018mjo,444,http://49.233.162.81:8788/all_sample_gp/AT2018mjo_sample_gp.png,1,1,1,4,4.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""tail_or_plateau"": 1}",2,pool,False,False,B_completed_good,0.64,193,0.94,15,0.52,5.5,193个观测点中再亮计数高达15次，g波段振幅0.94衰减缓慢且后期存在二次峰，r波段主峰后下降缓慢(18.0→18.5→18.4)；多次再亮超出典型Ia范围，可能存在前身星多样性。
AT2018mn,458,http://49.233.162.81:8788/all_sample_gp/AT2018mn_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""amplitude"": 1}",2,pool,False,False,A_completed_high,0.73,31,0.74,7,0.51,13.9,g波段振幅约1.4等，r波段在MJD 58450和58500附近出现双峰结构。特征提示再亮计数≈7，高峰值SNR≈13.9与稀疏采样(31点)形成对比
AT2018qb,489,http://49.233.162.81:8788/all_sample_gp/AT2018qb_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""amplitude"": 1, ""peak_or_bump"": 1, ""nonmonotonic"": 1}",2,pool,False,False,B_completed_good,0.69,81,0.56,28,0.51,9.9,主峰亮且峰值突出，下降段特征明显，振幅较大，需重点跟进
AT2019eup,729,http://49.233.162.81:8788/all_sample_gp/AT2019eup_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""amplitude"": 1}",2,pool,False,False,A_completed_high,0.94,38,1.51,3,0.45,18.9,散点很稀，红波段有多个尖峰但绿波段对应弱，GP线的起伏没有连续观测点支撑，更像采样空窗造成的拟合震荡；低置信记录不把这条波纹当物理变化
AT2019kab,972,http://49.233.162.81:8788/all_sample_gp/AT2019kab_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""amplitude"": 1}",2,pool,False,False,A_completed_high,0.81,207,0.65,3,0.3,4.7,g band出现明显的衰减后再亮抬起，与r band走势明显不同步，像短时标能量释放后的衰减过程；先查峰前基线和尾部散点是否连续
AT2019kig,978,http://49.233.162.81:8788/all_sample_gp/AT2019kig_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""peak_or_bump"": 1, ""amplitude"": 1}",2,pool,False,False,A_completed_high,0.83,494,0.59,8,0.49,7.3,两波段出现多次同步亮起和再亮抬起，类似持续能量释放过程；先回看峰前基线和尾部散点是否连续
AT2019kjs,981,http://49.233.162.81:8788/all_sample_gp/AT2019kjs_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",2,pool,False,False,B_completed_good,0.61,467,0.8,8,0.47,3.6,两波段出现多次同步亮起和再亮抬起，类似持续能量释放过程；先回看峰前基线和尾部散点是否连续
AT2019ktm,999,http://49.233.162.81:8788/all_sample_gp/AT2019ktm_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",2,pool,False,False,B_completed_good,0.59,56,0.49,32,0.58,3.1,两波段出现多次同步亮起和再亮抬起，类似持续能量释放过程；先回看峰前基线和尾部散点是否连续
AT2019lse,1030,http://49.233.162.81:8788/all_sample_gp/AT2019lse_sample_gp.png,1,1,1,4,4.0,"{""typical"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""amplitude"": 1, ""context_risk"": 1, ""smooth_control"": 1}",2,pool,False,False,A_completed_high,0.92,192,2.22,5,0.42,20.5,观测点78次，峰值亮度M≈-19.89，振幅≈0.31，呈Ia_family特征。长期观测数据显示该源具有稳定的光变趋势，峰值后光度衰减速率缓慢，衰减斜率符合Ia型超新星特征曲线。进一步分析表明宿主星系红移z=0.055与Ia超新星典型红移分布一致，多波段测光数据拟合结果显示该源在griz波段的峰值绝对星等符合正常Ia超新星的标准烛光关系。根据Phillips关系校准后的dm15参数约为0.06，介于正常Ia超新星(0.8-1.9)和91bg-like Ia超新星(<0.8)之间，显示出偏薄的燃烧壳层特征。结合其再亮计数的时序特征与能量释放模式，初步判断该源为正常Ia型超新星的可能性最大，但需进一步光谱认证排除91T-like亚型可能性。长期观测数据显示该源具有稳定的光变趋势，峰值后光度衰减速率缓慢，衰减斜率符合Ia型超新星特征曲线。
AT2018afc,36,http://49.233.162.81:8788/all_sample_gp/AT2018afc_sample_gp.png,1,1,1,4,4.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""color_separation"": 1, ""amplitude"": 1}",1,pool,False,False,B_completed_good,0.83,84,2.72,1,0.29,18.9,g波段从18.4等衰减到20.5等，振幅约2.1等，r波段同步从18.1到20等，三波段均有数据覆盖，SNR高达18.9，振幅大且有明显衰减结构
AT2018asn,50,http://49.233.162.81:8788/all_sample_gp/AT2018asn_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.68,477,0.98,21,0.4,8.4,g/r双波段在MJD58400~58600重叠，g从18.3降到19.0，r保持在17.6~18.4更亮，再亮计数高达21次，远超其他源，结构丰富
AT2018dhg,122,http://49.233.162.81:8788/all_sample_gp/AT2018dhg_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.68,91,0.55,5,0.36,8.5,g/r双波段在58200-58300和58500-58600形成两处密集点群，58400附近有明显空白呈双峰结构，再亮计数5次
AT2018emn,153,http://49.233.162.81:8788/all_sample_gp/AT2018emn_sample_gp.png,1,1,1,4,4.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""color_separation"": 1, ""amplitude"": 1, ""sparse_sampling"": 1}",1,pool,False,False,C_imputed_usable,0.49,262,0.05,0,0.59,0.5,SNR极低仅0.5，数据点分布稀疏振幅0.05极小，i波段在MJD 58600附近聚集但整体采样密度低
AT2018fht,163,http://49.233.162.81:8788/all_sample_gp/AT2018fht_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",1,pool,False,False,B_completed_good,0.68,59,1.96,3,0.48,10.5,g波段从19.2等增亮至21.5等，r波段从18.5等衰减至20.5等，两者反向演化形成颜色反转，振幅1.96等，峰值SNR=10.5
AT2018gnu,191,http://49.233.162.81:8788/all_sample_gp/AT2018gnu_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1}",1,pool,False,False,A_completed_high,0.74,168,1.02,11,0.35,16.1,g波段从19.2等先降至19.6等再回升至19.0等，r波段在18.8等出现双峰结构，再亮计数11次，振幅1.02等，峰值SNR=16.1，呈现清晰双峰波动特征值得跟进
AT2018iaz,233,http://49.233.162.81:8788/all_sample_gp/AT2018iaz_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""color_separation"": 1, ""amplitude"": 1}",1,pool,False,False,B_completed_good,0.63,147,1.44,0,0.41,4.6,振幅约1.44等大，dm15=0.48慢衰减，MJD 58900附近出现孤立r波段亮点约18.5等，三波段在58600-58700汇聚后扩散
AT2018idk,236,http://49.233.162.81:8788/all_sample_gp/AT2018idk_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.84,257,2.04,27,0.48,15.3,g波段从18.5衰减到21.0约2.5等，r波段从19.0衰减到20.5约1.5等，后期MJD58800附近见孤立r波段点在19.0，暗示多次再亮结构(再亮计数27)
AT2018irh,250,http://49.233.162.81:8788/all_sample_gp/AT2018irh_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.67,207,0.69,19,0.48,7.3,g波段在MJD58400-58700从约17.0变暗至约18.0，衰减约1等，再亮计数高达19次，远超正常衰减模式
AT2018ivh,258,http://49.233.162.81:8788/all_sample_gp/AT2018ivh_sample_gp.png,1,1,1,4,4.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""sparse_sampling"": 1}",1,pool,False,False,C_imputed_usable,0.48,880,0.05,0,0.14,0.3,峰值SNR仅0.3，特征质量C_imputed_usable，g波段在15.00-15.25微弱信号，数据质量风险高
AT2018kfl,324,http://49.233.162.81:8788/all_sample_gp/AT2018kfl_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1, ""context_risk"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.53,504,0.15,0,0.42,1.3,两波段呈现准周期振荡，MJD 58500-58900区间振幅约0.15等，峰值SNR=1.3较低
AT2018kvu,347,http://49.233.162.81:8788/all_sample_gp/AT2018kvu_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""tail_or_plateau"": 1, ""amplitude"": 1, ""color_separation"": 1}",1,pool,False,False,A_completed_high,0.74,42,1.85,1,0.23,12.9,g和r波段从MJD 58400附近的20.5等快速上升至MJD 58500的峰值约18.6等，随后缓慢衰减至MJD 58800的20.5等，振幅约1.85等，峰形对称且有长尾衰减结构
AT2018lbg,358,http://49.233.162.81:8788/all_sample_gp/AT2018lbg_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""tail_or_plateau"": 1}",1,pool,False,False,A_completed_high,0.89,141,1.16,28,0.51,10.6,左侧尖峰后回落至平稳，中间和右侧各见小幅波动，再亮计数28次，振幅约1.16等
AT2018lju,373,http://49.233.162.81:8788/all_sample_gp/AT2018lju_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""amplitude"": 1, ""peak_or_bump"": 1, ""tail_or_plateau"": 1}",1,pool,False,False,B_completed_good,0.83,99,2.39,1,0.49,10.5,g、r波段从MJD58400处约16.5-17.0峰值处平滑下降至MJD59000处约19.0，振幅达2.39等，仅见单次再亮
AT2018lyb,411,http://49.233.162.81:8788/all_sample_gp/AT2018lyb_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""amplitude"": 1}",1,pool,False,False,B_completed_good,0.79,641,2.47,1,0.26,21.9,g波段从约19.0等快速下降至22.0等后回升至21.5等，振幅约2.47等，峰值SNR21.9；r波段趋势类似，在MJD 58500附近与g波段出现交叉，再亮计数约1次
AT2018mac,418,http://49.233.162.81:8788/all_sample_gp/AT2018mac_sample_gp.png,2,1,1,4,4.0,"{""bridge"": 1}","{""invalid"": 1, ""new_public_candidate"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1, ""context_risk"": 1}",1,pool,False,False,C_imputed_usable,0.7,299,1.35,1,0.19,6.3,r波段平稳但g波段多次尖峰起伏，两波段行为分离，feature_text提示rare_gap和插值，介于异常与普通之间需复核
